page_title,gt_lat,gt_lon,gt_type,cl_to,type
New_Chain_of_Rocks_Bridge,38.7647,-90.1736,landmark,Bridges_on_U.S._Route_66,Other
Chain_of_Rocks_Bridge,38.7606,-90.1764,landmark,Bridges_on_U.S._Route_66,Other
"Colorado_Street_Bridge_(Pasadena,_California)",34.1447,-118.164,landmark,Bridges_on_U.S._Route_66,Other
Four_Level_Interchange,34.0625,-118.249,,Bridges_on_U.S._Route_66,Other
MacArthur_Bridge_(St._Louis),38.6147,-90.1836,landmark,Bridges_on_U.S._Route_66,Other
Martin_Luther_King_Bridge_(St._Louis),38.6311,-90.1794,landmark,Bridges_on_U.S._Route_66,Other
McKinley_Bridge,38.665,-90.1828,landmark,Bridges_on_U.S._Route_66,Other
Rainbow_Bridge_(Kansas),37.0734,-94.7406,landmark,Bridges_on_U.S._Route_66,Other
Rio_Puerco_Bridge,35.0335,-106.942,landmark,Bridges_on_U.S._Route_66,Other
Old_Trails_Bridge,34.7158,-114.485,landmark,Bridges_on_U.S._Route_66,Other
Poplar_Street_Bridge,38.6181,-90.1831,landmark,Bridges_on_U.S._Route_66,Other
"Standard_Oil_Gasoline_Station_(Odell,_Illinois)",41.0036,-88.5222,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
Abou_Ben_Adhem_Shrine_Mosque,37.2094,-93.2862,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Boston_Avenue_Methodist_Church,36.1439,-95.9844,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Wigwam_Motel,34.9022,-110.168,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
Illinois_State_Police_Office_(Pontiac),40.8331,-88.6667,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
Ariston_Cafe,39.1772,-89.6681,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
National_Bank_of_Rolla_Building,37.9497,-91.7711,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Jones_Motor_Company,35.0771,-106.619,landmark,Buildings_and_structures_on_U.S._Route_66,Attraction
Figueroa_Street_Tunnels,34.0731,-118.234,landmark,Buildings_and_structures_on_U.S._Route_66,Other
Gallup_(Amtrak_station),35.5293,-108.741,railwaystation,Buildings_and_structures_on_U.S._Route_66,Building
Bank_of_the_West_Tower_(Albuquerque),35.0782,-106.586,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Lobo_Theater,35.0809,-106.611,,Buildings_and_structures_on_U.S._Route_66,Building
KiMo_Theater,35.085,-106.652,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Old_Albuquerque_High_School,35.0839,-106.644,edu,Buildings_and_structures_on_U.S._Route_66,Building
Sunshine_Building,35.0842,-106.649,landmark,Buildings_and_structures_on_U.S._Route_66,Building
Gillioz_Theatre,37.2091,-93.2904,landmark,Buildings_and_structures_on_U.S._Route_66,Building
